id,timestamp,session_id,notebook,run_name,pipeline_version,hparams_version,aro_version,rows_in,rows_out,drop_reasons,config,metrics,artifacts
1,2026-08-04T17:03:30,,NB17,NB17-2026-08-04T17:03:30,,,,,,{},"{""adapter_dir"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/finetune/round_0/adapter"", ""base_model"": ""mlx-community/Qwen3-Coder-30B-A3B-Instruct-4bit"", ""batch_size"": 2, ""effective_batch"": 32, ""fused_dir"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/finetune/round_0/fused"", ""grad_accum"": 16, ""iters"": 1000, ""learning_rate"": 8e-06, ""lora_layers"": 16, ""lora_rank"": 8, ""lr_end_factor"": 0.1, ""lr_schedule"": ""cosine"", ""lr_warmup"": 100, ""max_seq_len"": 4096, ""no_improve_patience"": 4, ""resumed_from"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/data/adapters/warm_start/adapters.safetensors"", ""resumed_from_checkpoint"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/data/adapters/warm_start/adapters.safetensors"", ""round"": 0, ""run_iters"": 1000, ""steps_per_eval"": 50, ""stopped_early"": true, ""sweep_mode"": false, ""sweep_winner"": null, ""train_samples"": 4578, ""weight_decay"": 0.01}","{""best_val_iter"": 450, ""best_val_loss"": 0.639, ""final_train_loss"": 0.476, ""loss_exploded"": false, ""loss_nan"": false, ""stopped_early"": true}","{""adapter"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/finetune/round_0/adapter"", ""fused"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/finetune/round_0/fused"", ""meta"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/finetune/round_0/meta.json""}"
2,2026-08-04T18:02:17,,NB18,NB18-2026-08-04T18:02:17,,,,,,{},"{""base_model"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/finetune/round_0/fused"", ""batch_size"": 1, ""beta"": 0.3, ""empty_penalty_pairs"": true, ""grad_accum"": 8, ""iters"": 200, ""learning_rate"": 5e-06, ""lora_layers"": 8, ""lora_rank"": 8, ""loss"": ""preference (CE + margin hinge)"", ""lr_schedule"": ""cosine"", ""margin"": 0.5, ""max_seq_len"": 4096, ""n_pairs"": 723, ""semantic_gate"": true, ""training_failed"": false, ""use_preference_loss"": true, ""weight_decay"": 0.01}","{""best_val_loss"": 0.742, ""final_train_loss"": 0.966, ""n_pairs"": 723, ""training_failed"": false}","{""adapter"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/dpo/adapter"", ""fused"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/dpo/fused"", ""meta"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/dpo/meta.json""}"
3,2026-08-04T18:38:40,,NB19,NB19-2026-08-04T18:38:40,,,,,,{},"{""adapter"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/finetune/round_0/adapter"", ""base_model"": ""mlx-community/Qwen3-Coder-30B-A3B-Instruct-4bit"", ""eval_source"": ""holdout.jsonl"", ""max_eval"": 200, ""sample_composition"": {""alias"": 1, ""architecture"": 1, ""code_explanation"": 1, ""code_generation"": 65, ""context_llm"": 1, ""context_static"": 1, ""correction"": 1, ""debugging"": 2, ""error_pattern"": 1, ""explain"": 3, ""full_application"": 37, ""function_calling"": 15, ""knowledge"": 1, ""multi_file_application"": 1, ""syntax_qa"": 65, ""tool_calling"": 1, ""translation"": 1, ""usage"": 1, ""which_action"": 1}}","{""architecture.base_concept_overlap"": 0.667, ""architecture.base_fact_f1"": 0.0, ""architecture.base_rouge_l"": 0.387, ""architecture.base_token_overlap"": 0.358, ""architecture.ft_concept_overlap"": 0.0, ""architecture.ft_fact_f1"": 0.0, ""architecture.ft_rouge_l"": 0.16, ""architecture.ft_token_overlap"": 0.281, ""code_explanation.base_concept_overlap"": 0.0, ""code_explanation.base_fact_f1"": 0.333, ""code_explanation.base_rouge_l"": 0.149, ""code_explanation.base_token_overlap"": 0.287, ""code_explanation.ft_concept_overlap"": 0.0, ""code_explanation.ft_fact_f1"": 0.455, ""code_explanation.ft_rouge_l"": 0.19, ""code_explanation.ft_token_overlap"": 0.449, ""code_generation.base_hallucination_rate"": 0.05, ""code_generation.base_semantic_score"": 0.437, ""code_generation.base_syntax_pass_rate"": 0.154, ""code_generation.ft_exec_n"": 21, ""code_generation.ft_exec_pass_rate"": 0.571, ""code_generation.ft_hallucination_rate"": 0.009, ""code_generation.ft_name_match_rate"": 0.508, ""code_generation.ft_semantic_score"": 0.52, ""code_generation.ft_syntax_pass_rate"": 0.615, ""context_llm.base_hallucination_rate"": 0.0, ""context_llm.ft_hallucination_rate"": 0.0, ""context_static.base_hallucination_rate"": 0.0, ""context_static.ft_hallucination_rate"": 0.0, ""correction.base_hallucination_rate"": 0.0, ""correction.ft_hallucination_rate"": 0.0, ""error_pattern.base_hallucination_rate"": 0.0, ""error_pattern.ft_hallucination_rate"": 0.0, ""full_application.base_hallucination_rate"": 0.021, ""full_application.ft_hallucination_rate"": 0.02, ""function_calling.base_hallucination_rate"": 0.0, ""function_calling.ft_hallucination_rate"": 0.083, ""knowledge.base_concept_overlap"": 0.0, ""knowledge.base_fact_f1"": 0.5, ""knowledge.base_rouge_l"": 0.122, ""knowledge.base_token_overlap"": 0.169, ""knowledge.ft_concept_overlap"": 0.0, ""knowledge.ft_fact_f1"": 0.4, ""knowledge.ft_rouge_l"": 0.245, ""knowledge.ft_token_overlap"": 0.37, ""multi_file_application.base_hallucination_rate"": 0.0, ""multi_file_application.ft_hallucination_rate"": 0.0, ""syntax_qa.base_concept_overlap"": 0.267, ""syntax_qa.base_fact_f1"": 0.071, ""syntax_qa.base_hallucination_rate"": 0.081, ""syntax_qa.base_rouge_l"": 0.146, ""syntax_qa.base_token_overlap"": 0.208, ""syntax_qa.ft_concept_overlap"": 0.348, ""syntax_qa.ft_fact_f1"": 0.172, ""syntax_qa.ft_hallucination_rate"": 0.032, ""syntax_qa.ft_rouge_l"": 0.269, ""syntax_qa.ft_token_overlap"": 0.295, ""tool_calling.base_hallucination_rate"": 0.0, ""tool_calling.ft_hallucination_rate"": 0.0, ""translation.base_hallucination_rate"": 0.5, ""translation.base_semantic_score"": 1.0, ""translation.base_syntax_pass_rate"": 0.0, ""translation.ft_hallucination_rate"": 0.333, ""translation.ft_name_match_rate"": 1.0, ""translation.ft_semantic_score"": 1.0, ""translation.ft_syntax_pass_rate"": 1.0, ""usage.base_hallucination_rate"": 0.0, ""usage.ft_hallucination_rate"": 0.0, ""which_action.base_hallucination_rate"": 0.0, ""which_action.ft_hallucination_rate"": 0.0}","{""details"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/data/07_eval/details.jsonl"", ""report"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/data/07_eval/report.json""}"
4,2026-08-04T23:59:53,,NB20,NB20-round-0,,,,,,{},"{""base_model"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/dpo/fused"", ""iters"": 400, ""lora_layers"": 16, ""lora_rank"": 8, ""lr"": 1e-05, ""round"": 0, ""samples_per_round"": 405, ""weight_decay"": 0.01}","{""best_val_loss"": 0.34, ""pass_rate.code_generation"": 0.48333333333333334, ""pass_rate.debugging"": 0.5, ""pass_rate.translation"": 0.08333333333333333, ""syntax_pass_rate"": 0.48333333333333334}","{""adapter"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/iterative/round_0/adapter"", ""fused"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/iterative/round_0/fused""}"
5,2026-08-05T01:46:53,,NB20,NB20-round-1,,,,,,{},"{""base_model"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/dpo/fused"", ""iters"": 400, ""lora_layers"": 16, ""lora_rank"": 8, ""lr"": 6.6666666666666675e-06, ""round"": 1, ""samples_per_round"": 405, ""weight_decay"": 0.01}","{""best_val_loss"": 0.364, ""pass_rate.code_generation"": 0.15, ""pass_rate.debugging"": 0.25, ""pass_rate.translation"": 0.0, ""syntax_pass_rate"": 0.15}","{""adapter"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/iterative/round_1/adapter"", ""fused"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/iterative/round_1/fused""}"
6,2026-08-05T03:30:10,,NB20,NB20-round-2,,,,,,{},"{""base_model"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/dpo/fused"", ""iters"": 400, ""lora_layers"": 16, ""lora_rank"": 8, ""lr"": 5e-06, ""round"": 2, ""samples_per_round"": 405, ""weight_decay"": 0.01}","{""best_val_loss"": 0.446, ""pass_rate.code_generation"": 0.31666666666666665, ""pass_rate.debugging"": 0.25, ""pass_rate.translation"": 0.0, ""syntax_pass_rate"": 0.31666666666666665}","{""adapter"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/iterative/round_2/adapter"", ""fused"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/iterative/round_2/fused""}"
7,2026-08-05T05:08:16,,NB20,NB20-round-3,,,,,,{},"{""base_model"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/dpo/fused"", ""iters"": 400, ""lora_layers"": 16, ""lora_rank"": 8, ""lr"": 4.000000000000001e-06, ""round"": 3, ""samples_per_round"": 405, ""weight_decay"": 0.01}","{""best_val_loss"": 0.418, ""pass_rate.code_generation"": 0.5333333333333333, ""pass_rate.debugging"": 0.75, ""pass_rate.translation"": 0.16666666666666666, ""syntax_pass_rate"": 0.5333333333333333}","{""adapter"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/iterative/round_3/adapter"", ""fused"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/iterative/round_3/fused""}"
8,2026-08-05T07:30:26,,NB20,NB20-round-4,,,,,,{},"{""base_model"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/dpo/fused"", ""iters"": 400, ""lora_layers"": 16, ""lora_rank"": 8, ""lr"": 3.3333333333333337e-06, ""round"": 4, ""samples_per_round"": 405, ""weight_decay"": 0.01}","{""best_val_loss"": 0.376, ""pass_rate.code_generation"": 0.45, ""pass_rate.debugging"": 0.5833333333333334, ""pass_rate.translation"": 0.4166666666666667, ""syntax_pass_rate"": 0.45}","{""adapter"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/iterative/round_4/adapter"", ""fused"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/iterative/round_4/fused""}"
9,2026-08-05T10:08:30,,NB20,NB20-round-5,,,,,,{},"{""base_model"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/dpo/fused"", ""iters"": 400, ""lora_layers"": 16, ""lora_rank"": 8, ""lr"": 2.8571428571428573e-06, ""round"": 5, ""samples_per_round"": 405, ""weight_decay"": 0.01}","{""best_val_loss"": 0.288, ""pass_rate.code_generation"": 0.3, ""pass_rate.debugging"": 0.5, ""pass_rate.translation"": 0.4166666666666667, ""syntax_pass_rate"": 0.3}","{""adapter"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/iterative/round_5/adapter"", ""fused"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/iterative/round_5/fused""}"
10,2026-08-05T11:50:49,,NB20,NB20-round-6,,,,,,{},"{""base_model"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/dpo/fused"", ""iters"": 400, ""lora_layers"": 16, ""lora_rank"": 8, ""lr"": 2.5e-06, ""round"": 6, ""samples_per_round"": 405, ""weight_decay"": 0.01}","{""best_val_loss"": 0.372, ""pass_rate.code_generation"": 0.3, ""pass_rate.debugging"": 0.25, ""pass_rate.translation"": 0.3333333333333333, ""syntax_pass_rate"": 0.3}","{""adapter"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/iterative/round_6/adapter"", ""fused"": ""/Users/kris/Projects/ARO/ARO-Lang/Train/models/iterative/round_6/fused""}"
